Row.names	Mean_RPKM	SD_RPKM	Chimp_dN	Chimp_dS	Chimp_dN.dS	Mouse_dN	Mouse_dS	Mouse_dN.dS
19	ENSG00000001631.10	4.70493237223736	1.21450847681226	6e-04	0.0143	0.041958042	0.0277	0.4293	0.064523643
20	ENSG00000002016.12	3.23357905925706	2.0094198203565	0.0169	0.024	0.704166667	0.172	0.5924	0.290344362
21	ENSG00000002330.9	6.07512324189031	2.74247010830545	0	0.0106	0	0.1388	0.4731	0.293384063
22	ENSG00000002549.8	15.7804347260054	4.18688808311361	0	0.025	0	0.0478	0.5163	0.092581832
24	ENSG00000002587.5	0.095076943184574	0.0729225822399446	0.0014	0.0206	0.067961165	0.0623	1.0333	0.060292267
25	ENSG00000002726.15	0.00665670032667126	0.0110101102004837	0.0098	0.0417	0.23501199	0.1161	0.8278	0.140251268
26	ENSG00000002745.8	0.0385869979306103	0.0823070048078461	0.0039	0.0205	0.190243902	0.0447	0.5505	0.08119891
27	ENSG00000002746.10	0.0877161922019928	0.116353462284309	0.0012	0.0098	0.12244898	0.0614	0.5942	0.103332211
28	ENSG00000002822.11	2.19438913617023	0.733089083598241	0.0023	0.0234	0.098290598	0.1053	1.7441	0.060374978
29	ENSG00000002834.13	3.69518842198128	1.51762715057852	0	0.0313	0	0.019	0.715	0.026573427
30	ENSG00000002919.10	3.60241497699604	1.30455036091471	0.0039	0.0036	1.083333333	0.0937	0.645	0.145271318
31	ENSG00000002933.3	2.70067092623822	3.0693148644897	0.0104	0.0252	0.412698413	0.3793	0.7697	0.492789398
32	ENSG00000003056.3	8.900307952526	2.73456461333917	0	0.0066	0	0.0391	0.4681	0.08352916
33	ENSG00000003096.9	0.371574810771055	0.182269697180906	NA	NA	NA	0.0362	0.4009	0.090296832
34	ENSG00000003137.4	1.98558328957405	3.71323570121129	0.0016	0.0349	0.045845272	0.0159	1.0934	0.014541796
35	ENSG00000003147.13	0.635729510198499	0.30986706621373	0.0041	0.0175	0.234285714	0.0583	0.4832	0.120653974
36	ENSG00000003249.9	11.5215265695439	9.89734491030545	0.0214	0.0097	2.206185567	0.2486	1.0553	0.235572823
37	ENSG00000003393.10	4.02405159722927	1.07792719105332	9e-04	0.0075	0.12	0.0415	0.4987	0.083216363
39	ENSG00000003402.15	15.6939960806869	9.63875260057938	0.0023	0.0019	1.210526316	0.2074	0.8199	0.252957678
40	ENSG00000003436.10	5.73347018069999	3.99083504228535	0.0039	0.0219	0.178082192	0.276	0.7322	0.37694619
41	ENSG00000003509.11	7.24999830445578	2.20827689647946	0.0022	0.0106	0.20754717	0.0921	0.4773	0.192960402
42	ENSG00000003756.12	23.9345915062483	8.32902341706862	6e-04	0.011	0.054545455	0.0092	0.3514	0.02618099
43	ENSG00000003987.9	0.031114428819612	0.0322243650325619	0.0073	0.0112	0.651785714	0.0261	0.5184	0.050347222
44	ENSG00000003989.12	44.8122055829957	19.4789287936649	0.0078	0.0178	0.438202247	0.0466	0.5298	0.08795772
45	ENSG00000004059.6	33.4281133341235	10.7427806125477	0	0	NA	0	0.3294	0
46	ENSG00000004139.9	0.296954478895248	0.157568282434536	0.0011	0.0101	0.108910891	0.0682	0.9388	0.072645931
47	ENSG00000004142.7	94.638139600532	14.1940547844442	NA	NA	NA	0.0271	0.4082	0.066389025
48	ENSG00000004399.8	4.03203940058863	1.86501362651851	0.0057	0.0325	0.175384615	0.04	0.9355	0.042757883
49	ENSG00000004455.12	12.5993396038233	3.46892756391619	0.0019	0.0059	0.322033898	0.0256	0.5775	0.044329004
50	ENSG00000004468.8	1.92855948383032	1.52252459208413	0.0052	0.0102	0.509803922	0.3081	0.614	0.501791531
51	ENSG00000004478.5	28.9776831915212	15.8341679164741	0.003	0.0096	0.3125	0.0525	0.5355	0.098039216
52	ENSG00000004487.11	17.0721921388493	3.85438132035982	0	0.0064	0	0.0086	0.4394	0.019572144
53	ENSG00000004534.10	13.5663484650989	4.68665059847212	0.0025	0.0022	1.136363636	0.0569	0.3052	0.186435125
54	ENSG00000004660.10	1.09048537722854	0.84606710400197	0.0042	0.0143	0.293706294	0.0317	0.4835	0.065563599
55	ENSG00000004700.11	4.64725019210993	1.5561658352588	0.0014	0.0189	0.074074074	0.084	0.9839	0.08537453
56	ENSG00000004766.11	3.60228293829186	1.09489647712424	0.0018	0.0088	0.204545455	0.0185	0.4887	0.037855535
57	ENSG00000004776.7	856.306821335193	529.453484067458	0.0367	0.0973	0.377183967	0.0582	1.1409	0.051012359
58	ENSG00000004777.14	1.08237050993498	0.675736225471592	0.0042	0.0168	0.25	0.0428	0.5514	0.077620602
59	ENSG00000004779.5	50.2703683675722	16.0277343989909	0	0.0243	0	0.0729	0.4222	0.172666982
61	ENSG00000004809.9	0.00722488719634279	0.0160791132017288	0.0051	0.0262	0.194656489	0.3639	0.7262	0.501101625
62	ENSG00000004838.9	0.208483895005355	0.207690601845107	0.001	0.0065	0.153846154	0.0565	0.7045	0.080198722
63	ENSG00000004846.12	0.0110582443438795	0.0242958416244766	0.008	0.0252	0.317460317	0.1272	0.5107	0.249069904
64	ENSG00000004848.6	3.09105329617511	1.76532183252836	NA	NA	NA	0.0157	0.6113	0.025682971
65	ENSG00000004864.9	2.98648842115735	1.35020804597038	0	0.0055	0	0.0228	0.447	0.051006711
66	ENSG00000004866.14	1.6602301066698	0.694538051196171	0.0336	0.0632	0.53164557	0.0449	0.4137	0.108532753
67	ENSG00000004897.7	6.92979195173397	1.8678030498134	6e-04	0.0027	0.222222222	0.0132	0.3058	0.043165468
68	ENSG00000004939.9	0.0337893962697667	0.0850316807588989	0.005	0.0165	0.303030303	0.1023	0.719	0.142280946
69	ENSG00000004948.9	0.100571403413101	0.0858862991688865	0.0031	0.0095	0.326315789	0.1359	0.8343	0.162891046
70	ENSG00000004961.10	13.4676264197327	3.94837963685777	0.0038	0.0116	0.327586207	0.0825	0.5406	0.152608213
71	ENSG00000004975.7	5.55101977392685	1.92721974107194	0	0.0095	0	0.0155	0.645	0.024031008
72	ENSG00000005001.5	0.011815263322273	0.0233996656577638	0.0055	0.0144	0.381944444	0.1403	0.7672	0.182872784
73	ENSG00000005007.8	11.2171832949616	3.4836913857996	0	0.0088	0	0.005	0.9289	0.005382711
74	ENSG00000005020.8	2.12748134482739	1.03651350631323	0.0014	0.0124	0.112903226	0.0611	0.5201	0.117477408
75	ENSG00000005022.5	19.4949812689493	12.9970486547743	0.0022	0.0123	0.178861789	0.0081	0.3048	0.026574803
76	ENSG00000005059.11	0.837940249938604	0.62530168575826	0.0095	0.0085	1.117647059	0.1671	0.692	0.241473988
77	ENSG00000005073.5	2.89725565009339	1.36646634702497	0	0.0091	0	0.0098	0.2021	0.048490846
78	ENSG00000005075.11	92.1445969958638	25.0700218793335	0	0.0339	0	0	0.9503	0
79	ENSG00000005100.8	3.38092937414036	1.45733736593813	0.002	0.0128	0.15625	0.0336	0.3804	0.088328076
80	ENSG00000005102.8	2.50665760684845	1.74876866924469	0.0052	0	NA	0.0966	0.592	0.163175676
81	ENSG00000005108.11	0.118358923117955	0.11021437936297	0.0121	0.031	0.390322581	0.045	0.5851	0.07690993
82	ENSG00000005156.7	4.26720126007879	1.65357305446185	0.0024	0.0043	0.558139535	0.0766	0.4408	0.173774955
83	ENSG00000005175.5	7.24693845150083	1.92244517312973	0.004	0.0104	0.384615385	0.1185	0.82	0.144512195
84	ENSG00000005187.7	0.114743844411054	0.158735671237141	0.0051	0.0075	0.68	0.0761	0.4277	0.177928455
85	ENSG00000005189.15	0.384619027098944	0.212408037063278	0.0044	0.0116	0.379310345	0.3495	0.5131	0.681153771
86	ENSG00000005194.10	13.22287220844	5.14242178899145	0.003	0.0188	0.159574468	0.0998	0.5529	0.180502803
87	ENSG00000005238.15	2.59521944169388	1.28662639274069	0.0048	0.0128	0.375	0.05	0.1452	0.344352617
88	ENSG00000005243.5	19.0917859166168	6.67178997733491	0.0153	0.0107	1.429906542	0.0514	0.4236	0.121340888
89	ENSG00000005249.8	0.561976758269377	0.447436619064834	0.0021	0.0036	0.583333333	0.0122	0.3819	0.031945535
90	ENSG00000005302.13	5.37939731187599	1.84410359212284	8e-04	0.0073	0.109589041	0.0701	0.5003	0.14011593
91	ENSG00000005339.8	9.72456487888513	3.60352635042442	4e-04	0.0068	0.058823529	0.0207	0.4176	0.049568966
92	ENSG00000005379.11	1.22590474382389	0.684164872266878	0.0054	0.0127	0.42519685	0.1019	0.5038	0.202262803
93	ENSG00000005381.6	0.408055311480407	0.396798042079196	0.0028	0.0172	0.162790698	0.0775	0.7161	0.108225108
94	ENSG00000005421.4	0.0249287434117219	0.0275446786370814	0.0496	0.1302	0.380952381	0.1048	0.5167	0.202825624
95	ENSG00000005436.9	5.35351415068604	1.94356282937936	0.0069	0.0213	0.323943662	0.1998	0.5301	0.376910017
96	ENSG00000005448.12	0.645882535327313	0.445888120795074	0.0029	0.0034	0.852941176	0.0616	0.5054	0.121883657
97	ENSG00000005469.7	2.52579024988551	1.09124862676259	0.0014	0.006	0.233333333	0.0817	0.5246	0.155737705
98	ENSG00000005471.11	0.646679805600366	0.572853793582689	0.0022	0.0082	0.268292683	0.0485	0.4858	0.099835323
99	ENSG00000005483.15	5.90014509600262	1.75632991531904	7e-04	0.0058	0.120689655	0.0509	0.3935	0.12935197
100	ENSG00000005486.12	9.41271286786989	4.09207234150671	0	0.0196	0	0.0573	0.6489	0.088303282
101	ENSG00000005513.9	0.472082268567972	0.536480712472391	0.0021	0.0908	0.023127753	0.0761	1.5739	0.048351229
102	ENSG00000005700.10	9.44202815488327	2.91150237260345	0.0027	0.0059	0.457627119	0.0737	0.5709	0.129094412
103	ENSG00000005801.12	2.30289265804513	0.981411531766935	0.0056	0.0096	0.583333333	0.3748	0.9048	0.41423519
104	ENSG00000005810.13	3.25232249914214	0.95165731393862	0.0041	0.0128	0.3203125	0.0132	0.4828	0.027340514
105	ENSG00000005812.6	7.94023170526638	2.9686918044331	0	0.0148	0	0.014	0.5163	0.027116018
106	ENSG00000005844.13	0.233167107754149	0.212809630044003	0.0569	0.1067	0.533270853	0.1775	0.7378	0.240580103
107	ENSG00000005882.7	38.9061578273773	16.6518854434311	0.001	0.0145	0.068965517	0.0101	0.642	0.015732087
108	ENSG00000005884.13	4.11759179054305	3.33755175352774	0.0036	0.025	0.144	0.0783	0.6053	0.129357343
109	ENSG00000005889.11	4.11899996607803	1.46400606530154	6e-04	0.0075	0.08	0.02	0.3566	0.05608525
110	ENSG00000005893.11	21.3719899598942	6.09980058914732	NA	NA	NA	0.2712	0.5248	0.516768293
111	ENSG00000005955.8	11.6696777232858	4.49242945082771	NA	NA	NA	0.017	0.2916	0.05829904
112	ENSG00000005961.13	0.086198420374286	0.0600653292681892	0.0027	0.0119	0.226890756	0.1133	0.6027	0.18798739
113	ENSG00000005981.8	3.98506230497083	2.95261521225361	0.0011	0.0138	0.079710145	0.0346	0.7894	0.043830758
114	ENSG00000006007.7	16.1256700083267	3.90545908736349	0.0013	0.0101	0.128712871	0.0683	0.4687	0.14572221
115	ENSG00000006015.13	33.750806382645	14.3226087097652	0.0084	0.0267	0.314606742	0.1764	0.7639	0.230920278
116	ENSG00000006016.6	6.15611323908318	5.11528622313019	0.0021	0.0616	0.034090909	0.0238	1.0104	0.023555028
117	ENSG00000006025.7	4.20436967784582	4.179185055289	0.0045	0.0243	0.185185185	0.0344	0.6724	0.051160024
118	ENSG00000006042.7	0.6214240498321	0.484434557748648	0	0.0046	0	0.0087	0.6448	0.013492556
119	ENSG00000006047.8	0.409487393660861	0.240286014281556	0.0055	0.0116	0.474137931	0.0467	0.2638	0.177028052
120	ENSG00000006059.3	0.00738998616634067	0.0242847066032617	0.0042	0.0325	0.129230769	0.0703	0.7876	0.089258507
121	ENSG00000006071.7	0.703281285024659	0.698609283268061	9e-04	0.0196	0.045918367	0.0229	0.6173	0.037097035
122	ENSG00000006074.4	0.0638281590045365	0.197555757444226	NA	NA	NA	0.3105	0.6454	0.481096994
123	ENSG00000006075.11	0.339669747408046	0.999928754027222	NA	NA	NA	0.161	0.7459	0.215846628
124	ENSG00000006114.11	2.41571255367856	0.716903244575306	NA	NA	NA	0.0674	0.5264	0.128039514
125	ENSG00000006116.3	0.0055522465374494	0.0107335307432357	0.0111	0.0321	0.345794393	0.0057	0.5112	0.011150235
126	ENSG00000006118.10	0.381258383315316	0.182162062103794	0.005	0.0171	0.292397661	0.07	0.637	0.10989011
127	ENSG00000006125.12	15.0308672206346	4.49993611794749	0	0.0111	0	5e-04	0.3289	0.001520219
128	ENSG00000006128.7	0.123182099180426	0.399925239883065	0.0063	0	NA	0.0232	0.2005	0.115710723
129	ENSG00000006194.6	2.04038226562877	0.839278360487737	0.0035	0.005	0.7	0.0964	0.5177	0.186208229
130	ENSG00000006210.6	3.08259769941485	2.49405575557822	0.007	0.0129	0.542635659	0.2402	0.7917	0.303397752
131	ENSG00000006282.15	8.47213589285695	4.50532105442461	0.0133	0.0312	0.426282051	0.0782	0.842	0.092874109
132	ENSG00000006283.13	0.0204038688022275	0.0189532438067414	0.002	0.0171	0.116959064	0.0267	0.551	0.04845735
133	ENSG00000006327.9	14.7799378673698	15.2152454028005	0	0	NA	0.107	0.537	0.199255121
134	ENSG00000006377.9	0.0317095749069352	0.0341242535859448	0	0.0193	0	0.0133	0.3576	0.037192394
135	ENSG00000006432.11	0.681496470196303	0.467674701913073	0.0037	0.0086	0.430232558	0.0221	0.4298	0.051419265
136	ENSG00000006451.3	4.79131777037022	1.33469409573358	0	0.0092	0	0.0022	0.3853	0.005709836
137	ENSG00000006453.9	0.852546464495881	0.702326337243274	0.003	0.0232	0.129310345	0.0631	0.7463	0.084550449
138	ENSG00000006459.6	9.5731685156046	5.37489272576656	0.0016	0.0054	0.296296296	0.05	0.2582	0.193648335
139	ENSG00000006468.9	0.126171083982254	0.0872940768568817	0.0011	0.004	0.275	0.0095	0.2647	0.035889686
140	ENSG00000006530.11	2.10830299341401	0.67745027038298	0.0037	0.0046	0.804347826	0.0419	0.4711	0.088940777
141	ENSG00000006534.11	0.567909434437752	0.351572540496282	NA	NA	NA	0.0818	1.0674	0.076634814
142	ENSG00000006555.6	0.0186414570087394	0.0221132149278117	0.0014	0.0279	0.050179211	0.0788	1.0316	0.076386196
143	ENSG00000006576.12	14.9392902130304	6.20894369197362	0.0019	0.0082	0.231707317	0.0311	0.442	0.070361991
144	ENSG00000006606.4	0.0913616379982857	0.195346114342693	0.0162	0	NA	0.438	0.6363	0.68835455
145	ENSG00000006607.9	1.25910415552383	0.343119223812997	0.009	0.0069	1.304347826	0.0947	0.5779	0.163869182
146	ENSG00000006611.11	0.0177657641849459	0.0468480877672274	0.0071	0.0234	0.303418803	0.0407	0.4982	0.081694099
147	ENSG00000006625.13	7.07452315230702	1.99169008149	0	0	NA	0.0952	0.579	0.164421416
148	ENSG00000006634.3	0.539964680200399	0.237249712500634	7e-04	0.0016	0.4375	0.2108	0.581	0.362822719
149	ENSG00000006638.7	0.280619523830192	0.229815668331917	0.0031	0.0253	0.122529644	0.1476	4.778	0.030891586
150	ENSG00000006652.9	10.4204586744308	5.65072933472467	0.0021	0.0108	0.194444444	0.029	0.403	0.071960298
152	ENSG00000006695.6	14.0100361424823	4.93387332078452	0	0.0151	0	0.1162	0.6623	0.175449192
153	ENSG00000006704.6	14.8015554805135	8.68589146380021	0.0036	0.0233	0.154506438	0.0757	0.8904	0.085017969
154	ENSG00000006712.10	22.0277230440184	5.36883891656516	0.0114	5e-04	22.8	0.0079	0.6145	0.01285598
155	ENSG00000006715.11	1.70364867178507	0.598316646610004	0	0.0112	0	0.0122	0.4462	0.027341999
156	ENSG00000006740.12	1.06971372303575	0.418961586907252	0.0017	0.0144	0.118055556	0.0305	0.5292	0.057634165
157	ENSG00000006744.14	20.7435113862503	4.95981421551125	0.0051	0.0106	0.481132075	0.0954	0.6479	0.147244945
158	ENSG00000006747.10	0.0720725230087504	0.121520624811196	0.0026	0.0246	0.105691057	0.0465	0.5432	0.085603829
161	ENSG00000006788.8	1.61126942322481	1.71024760138122	0.0018	0.0224	0.080357143	0.0185	0.6889	0.026854406
162	ENSG00000006831.9	11.4164730681929	2.87000443375342	0	0.0153	0	0.0391	0.3589	0.108943996
163	ENSG00000006837.7	0.789723550996115	0.246065763252425	0.0016	0.0018	0.888888889	0.1245	0.6192	0.201065891
164	ENSG00000007001.8	0.00244610606811854	0.00726923990747065	0.0061	0.0142	0.429577465	0.0628	0.5198	0.120815698
165	ENSG00000007038.6	0.0224055376066285	0.0360101205776096	0.0043	0.0104	0.413461538	0.2469	1.0199	0.242082557
166	ENSG00000007047.10	9.66855432377305	2.71198433482752	6e-04	0.0214	0.028037383	0.011	0.5233	0.021020447
167	ENSG00000007062.7	0.0703279993637617	0.0738614338974877	0.0038	0.0146	0.260273973	0.2876	0.7658	0.375554975
168	ENSG00000007080.6	51.8765773462695	21.7885943050487	0	0.0214	0	0.0423	1.4903	0.028383547
169	ENSG00000007129.13	0.0341615532297468	0.0366661367173398	NA	NA	NA	0.8775	1.4821	0.592065313
170	ENSG00000007168.8	29.9067580511404	8.9198730535525	0.0012	0.0052	0.230769231	0.0011	0.2166	0.005078486
171	ENSG00000007171.12	0.147360423924185	0.123523330581647	0.0026	0.0153	0.169934641	0.1063	0.7327	0.145079842
172	ENSG00000007174.13	0.0044562790006789	0.00519594808476273	0.0044	0.0117	0.376068376	0.0659	0.5819	0.113249699
173	ENSG00000007202.10	17.270089963425	4.73698431015092	0.003	0.0099	0.303030303	0.0292	0.3848	0.075883576
174	ENSG00000007216.10	0.00359920851810467	0.00791332475069039	0.0057	0.027	0.211111111	0.1277	0.8714	0.146545788
175	ENSG00000007237.14	1.01480069541654	0.669684110906375	0	0.0105	0	0.0126	0.5091	0.024749558
176	ENSG00000007255.6	9.57673136079034	5.10476072606483	0.1983	0.5565	0.356334232	0.0775	0.8514	0.091026545
177	ENSG00000007264.9	0.0460296353336077	0.0529222083858607	0.0048	0.0435	0.110344828	0.0677	1.1446	0.0591473
178	ENSG00000007306.10	0.0156456460364076	0.0327343009496106	0.0072	0.0177	0.406779661	0.7174	1.2059	0.594908367
179	ENSG00000007312.8	1.42714716721066	0.880881702361827	0.0037	0.031	0.119354839	0.2146	0.8304	0.258429672
180	ENSG00000007314.7	38.6836262603139	14.0527015393573	0.0017	0.0509	0.033398821	0.0324	0.7907	0.04097635
181	ENSG00000007341.14	1.09823487525762	0.339061198152694	0.0031	0.0025	1.24	0.0766	0.3887	0.197067147
182	ENSG00000007350.12	0.0579438100980465	0.0535301370467538	0.0153	0.0062	2.467741935	0.1931	0.5241	0.368441137
183	ENSG00000007372.16	0.0131885600601171	0.0222528194599356	0.0024	0.0228	0.105263158	0.0011	0.2492	0.004414125
184	ENSG00000007376.3	2.76726934341497	1.09413310106605	0.004	0.0459	0.087145969	0.086	1.2167	0.070682995
185	ENSG00000007384.11	8.77751973396124	4.09220236887025	5e-04	0.0376	0.013297872	0.0225	0.8382	0.026843236
186	ENSG00000007392.12	6.78282329149024	3.15177745103997	0	0.0108	0	0.0147	0.4149	0.035430224
187	ENSG00000007402.7	0.551148781422959	0.244842549119204	0.0052	0.0179	0.290502793	0.0126	0.4721	0.026689261
188	ENSG00000007516.9	0.482403269366816	0.242789552973823	0.0166	0.0569	0.291739895	0.0571	0.9264	0.061636442
189	ENSG00000007520.3	27.4812809655833	8.65770522978086	0.008	0.0364	0.21978022	0.1287	0.772	0.166709845
190	ENSG00000007541.10	4.96793765190036	2.52700529775326	0.0083	0.0186	0.446236559	0.1781	1.7196	0.103570598
191	ENSG00000007545.11	0.591065625239943	0.306970594697257	0.0051	0.0106	0.481132075	0.0942	0.7051	0.133598071
192	ENSG00000007866.14	12.5829391734545	6.68104943171781	0.0028	0.0055	0.509090909	0.0099	0.6971	0.014201693
193	ENSG00000007908.11	0.377823088821674	2.91990120010292	0.0038	0.0147	0.258503401	0.179	0.642	0.278816199
194	ENSG00000007923.11	8.10677678695945	2.10959899187726	0.0107	0.042	0.254761905	0.0154	0.5956	0.025856279
195	ENSG00000007933.8	1.12655355306559	0.999365022415314	0.0025	0.0186	0.134408602	0.1174	0.4995	0.235035035
196	ENSG00000007944.10	6.93028646402581	3.57257552832328	0.001	0.0064	0.15625	0.0199	0.6563	0.030321499
197	ENSG00000007952.13	0.0242521235719323	0.0312467264489586	NA	NA	NA	0.0949	0.3511	0.270293364
198	ENSG00000007968.6	0.0198282119715153	0.0234967749202311	0.002	0.01	0.2	0.0848	0.6516	0.130141191
199	ENSG00000008018.8	51.7565583339957	14.9596461064619	0	0.0126	0	0.0363	0.6943	0.052282875
200	ENSG00000008056.8	0.0841745629354358	0.0892618908245804	NA	NA	NA	0.022	0.3939	0.055851739
201	ENSG00000008083.9	4.07655147092287	2.50985929543504	0.0022	0.015	0.146666667	0.0337	0.3774	0.089295178
202	ENSG00000008086.6	0.271133745110832	0.165220981970908	0.0027	0.0052	0.519230769	0.0382	0.5294	0.072157159
203	ENSG00000008118.5	0.1072703924669	0.36413265558068	9e-04	0.0217	0.041474654	0.0398	0.5942	0.066980815
204	ENSG00000008128.18	11.5145642308302	4.95078017667026	NA	NA	NA	0.0188	0.9608	0.019567027
205	ENSG00000008130.11	6.00697298715281	2.69119560439197	0.0061	0.0245	0.248979592	0.0397	0.9092	0.04366476
206	ENSG00000008196.8	0.00290223970538179	0.00497513257599582	0	0.0025	0	0	0.4045	0
207	ENSG00000008197.4	0.000508978302308986	0.00363787137489993	0	0.0065	0	0.002	0.3007	0.006651147
208	ENSG00000008226.15	0.0350544811551308	0.0304086249789918	0.0068	0.0193	0.352331606	0.187	0.7973	0.234541578
209	ENSG00000008256.11	5.00476092959559	1.4254220644751	0	0.0208	0	0.0042	0.9971	0.004212215
210	ENSG00000008277.10	0.175404434629478	0.14296435893789	0.0026	0.0053	0.490566038	0.0444	0.4321	0.102753992
211	ENSG00000008282.3	42.5198055533476	11.8646272855143	0.0018	0.0189	0.095238095	0.1114	0.4775	0.233298429
212	ENSG00000008283.11	0.641874723708214	0.361298715799617	0.0053	0.0242	0.219008264	0.0747	0.8808	0.084809264
213	ENSG00000008294.16	20.5262621757596	7.97532087029953	8e-04	0.0067	0.119402985	0.0161	0.4104	0.039230019
214	ENSG00000008300.10	0.0901029333147372	0.0767424819349663	0.0037	0.0096	0.385416667	0.0393	0.5476	0.071767714
215	ENSG00000008311.10	5.10869460452435	5.66574432806597	0.0016	0.0138	0.115942029	0.0718	0.5686	0.126275062
216	ENSG00000008323.11	0.0446982788230661	0.0526281261412748	0.0018	0.0184	0.097826087	0.099	0.6166	0.160557898
217	ENSG00000008324.6	4.40749983538029	1.89183703495184	0.1224	0.256	0.478125	0.0724	0.7653	0.094603423
218	ENSG00000008382.11	4.21668690193531	1.25593988544895	0.0085	0.0583	0.145797599	0.0959	1.1534	0.083145483
219	ENSG00000008394.8	1.45533573284399	1.49808490251042	0	0.014	0	0.0962	1.0273	0.093643532
220	ENSG00000008405.7	4.07888671132021	2.14087423307606	9e-04	0.0053	0.169811321	0.0181	0.4794	0.037755528
221	ENSG00000008438.4	0.0985136926845583	0.146059039717081	0.0237	0.0255	0.929411765	0.2039	1.1946	0.170684748
222	ENSG00000008441.12	49.6322411736777	14.8991490261058	0.0272	0.0784	0.346938776	0.0167	0.3124	0.053457106
223	ENSG00000008513.10	14.0883572412092	6.55197822878956	0.0025	0.0201	0.124378109	0.0876	1.2868	0.068075847
224	ENSG00000008516.12	0.297892414865106	0.235213567614679	0.0038	0.0089	0.426966292	0.137	1.0041	0.136440594
226	ENSG00000008710.13	17.2653326422669	6.86968596181466	0.2199	0.8468	0.259683514	0.1301	1.064	0.122274436
227	ENSG00000008735.10	0.101381943214598	0.0841951142672299	0.002	0.0399	0.050125313	0.0601	1.0473	0.057385658
228	ENSG00000008838.13	20.7067627041839	5.45966565696361	0	0.013	0	0.0274	0.6269	0.04370713
229	ENSG00000008853.12	4.26829630607782	2.65676742182431	0.0012	0.0129	0.093023256	0.0098	0.5696	0.017205056
230	ENSG00000008869.7	1.88651553198349	0.6748231152253	2e-04	0.02	0.01	0.0214	0.5989	0.035732176
231	ENSG00000008952.12	7.20612110259921	1.94046369075429	0	0.0056	0	0.029	0.3596	0.080645161
232	ENSG00000008988.5	129.602706643038	34.1461349192618	0.0036	0.0072	0.5	0.0309	0.6754	0.045750666
233	ENSG00000009307.11	380.084114837646	106.079706454183	6e-04	0.0038	0.157894737	0.0068	0.2375	0.028631579
234	ENSG00000009335.13	18.3958113016084	3.80056281858368	0.0058	0.011	0.527272727	0.0345	0.5387	0.064043067
235	ENSG00000009413.11	5.30183043119519	2.92484749335689	0.0017	0.0054	0.314814815	0.0693	0.4136	0.167553191
236	ENSG00000009694.9	0.460598630284847	0.410814905019015	0.0018	0.0111	0.162162162	0.0142	0.3726	0.038110574
237	ENSG00000009709.7	0.816000971059466	0.558390852262416	0.0016	0.0274	0.058394161	0.0537	0.8679	0.061873488
238	ENSG00000009724.12	1.0366726016929	0.520031562204436	0.0064	0.0098	0.653061224	0.1069	0.5401	0.19792631
239	ENSG00000009765.10	0.0264838639692793	0.0548346496213929	0.0237	0.0176	1.346590909	0.2176	1.4841	0.146620848
240	ENSG00000009780.11	2.43979411291522	0.938204005643198	0	0.0053	0	0.0073	0.4485	0.016276477
241	ENSG00000009790.10	0.131376168772925	0.0877790670515762	0.0078	0.0128	0.609375	0.1533	0.4494	0.341121495
