Gene_symbol	Ensembl gene ID	Chrom	CDS_Begin	CDS_End	Essential	Non-essential	Overexpressed_in_the_brain	Exon_number	CDS_length	GC%
ALPL	ENSG00000162551	1	21835858	21904905	Y	N	N	12	1575	51.64
HSPG2	ENSG00000142798	1	22148738	22263790	Y	N	N	97	13176	56.09
CDC42	ENSG00000070831	1	22379120	22419437	Y	N	Y	7	702	41.82
WNT4	ENSG00000162552	1	22446461	22470462	Y	N	N	5	1056	58.11
KDM1A	ENSG00000004487	1	23345941	23410182	Y	N	N	21	2631	39.16
LUZP1	ENSG00000169641	1	23410516	23504301	Y	N	N	3	3231	43.28
TCEB3	ENSG00000011007	1	24069645	24088549	Y	N	N	11	2397	45.7
HMGCL	ENSG00000117305	1	24128375	24165110	Y	N	N	9	978	46.84
SRSF10	ENSG00000188529	1	24291294	24307417	Y	N	N	6	789	39.02
GRHL3	ENSG00000158055	1	24645812	24690972	Y	N	N	16	1881	51
RUNX3	ENSG00000020633	1	25226002	25291612	Y	N	N	6	1290	54.8
LIN28A	ENSG00000131914	1	26737269	26756213	Y	N	N	4	630	46.58
ARID1A	ENSG00000117713	1	27022524	27108595	Y	N	N	20	6858	45.93
SFN	ENSG00000175793	1	27189633	27190947	Y	N	N	1	747	62.74
SLC9A1	ENSG00000090020	1	27425306	27493472	Y	N	N	12	2448	51.71
WDTC1	ENSG00000142784	1	27561007	27635110	Y	N	N	16	2034	46.51
WASF2	ENSG00000158195	1	27730730	27816669	Y	N	N	9	1497	44.01
PPP1R8	ENSG00000117751	1	28157289	28178187	Y	N	N	7	1056	44.44
PHACTR4	ENSG00000204138	1	28696114	28826881	Y	N	N	13	2139	42.87
KHDRBS1	ENSG00000121774	1	32479430	32526451	Y	N	N	9	1332	43.63
HDAC1	ENSG00000116478	1	32757687	32799236	Y	N	N	14	1449	46.79
MARCKSL1	ENSG00000175130	1	32799433	32801980	Y	N	Y	2	588	64.21
GJB5	ENSG00000189280	1	35220648	35224113	Y	N	N	2	822	54.15
GJB3	ENSG00000188910	1	35246790	35251970	Y	N	N	2	813	56.92
NCDN	ENSG00000020129	1	36023074	36032875	Y	N	Y	7	2190	57.71
CDCA8	ENSG00000134690	1	38158090	38175391	Y	N	N	11	843	45.82
MTF1	ENSG00000188786	1	38279851	38325292	Y	N	N	11	2262	43.56
POU3F1	ENSG00000185668	1	38509523	38512450	Y	N	N	1	1356	63.25
MACF1	ENSG00000127603	1	39546988	39952849	Y	N	Y	101	22779	42.57
BMP8B	ENSG00000116985	1	40222854	40254533	Y	N	N	7	1209	55.56
ZMPSTE24	ENSG00000084073	1	40723779	40759856	Y	N	N	10	1428	40.78
YBX1	ENSG00000065978	1	43148098	43168020	Y	N	N	7	1124	40.41
SLC2A1	ENSG00000117394	1	43391519	43424530	Y	N	N	10	1479	52.84
TIE1	ENSG00000066056	1	43766664	43788779	Y	N	N	23	3417	54.59
CDC20	ENSG00000117399	1	43824626	43828874	Y	N	N	11	1500	52.2
SZT2	ENSG00000198198	1	43855553	43918321	Y	N	N	71	10128	49.96
SLC6A9	ENSG00000196517	1	44457172	44497139	Y	N	N	14	2121	56.44
DMAP1	ENSG00000178028	1	44679127	44686353	Y	N	N	10	1404	52.33
UROD	ENSG00000126088	1	45477819	45481247	Y	N	N	10	1104	52.29
NASP	ENSG00000132780	1	46049518	46084566	Y	N	N	16	2373	42.89
POMGNT1	ENSG00000085998	1	46654354	46685977	Y	N	N	23	2247	49.39
DMBX1	ENSG00000197587	1	46972668	46979898	Y	N	N	4	1149	55.86
TAL1	ENSG00000162367	1	47681963	47697892	Y	N	N	4	1002	53.16
STIL	ENSG00000123473	1	47715811	47779819	Y	N	N	17	3867	40.02
FAF1	ENSG00000185104	1	50905150	51425935	Y	N	N	20	1953	38.25
NRD1	ENSG00000078618	1	52254863	52344477	Y	N	N	33	3660	39.33
MAGOH	ENSG00000162385	1	53692564	53704282	Y	N	N	5	441	41.63
SSBP3	ENSG00000157216	1	54692190	54879152	Y	N	N	18	1167	50.92
DHCR24	ENSG00000116133	1	55315306	55352891	Y	N	N	9	1551	47.68
BSND	ENSG00000162399	1	55464606	55476556	Y	N	N	4	963	51.94
PPAP2B	ENSG00000162407	1	56960419	57110974	Y	N	Y	6	936	41.42
DAB1	ENSG00000173406	1	57460451	59012406	Y	N	Y	15	1767	40.83
JUN	ENSG00000177606	1	59246465	59249785	Y	N	N	1	996	56.01
NFIA	ENSG00000162599	1	61330931	61928465	Y	N	N	12	1665	40.05
USP1	ENSG00000162607	1	62901968	62917475	Y	N	N	9	2358	39.48
FOXD3	ENSG00000187140	1	63788730	63790797	Y	N	N	1	1437	63.97
ROR1	ENSG00000185483	1	64239693	64647181	Y	N	N	9	2814	40.97
JAK1	ENSG00000162434	1	65298912	65432187	Y	N	N	25	3465	42.69
DNAJC6	ENSG00000116675	1	65713902	65881552	Y	N	Y	19	2913	40.01
SLC35D1	ENSG00000116704	1	67465015	67519782	Y	N	N	12	1068	37.83
WLS	ENSG00000116729	1	68564142	68698803	Y	N	Y	12	1638	41.57
LHX8	ENSG00000162624	1	75594119	75627218	Y	N	N	10	1071	39.78
ACADM	ENSG00000117054	1	76190036	76253260	Y	N	N	13	1365	40.45
MCOLN3	ENSG00000055732	1	85483765	85514182	Y	N	N	13	1662	40.77
BCL10	ENSG00000142867	1	85731931	85743771	Y	N	N	3	702	40.74
DDAH1	ENSG00000153904	1	85784168	86044046	Y	N	Y	6	858	39.19
CYR61	ENSG00000142871	1	86046444	86049645	Y	N	N	5	1146	50.25
HS2ST1	ENSG00000153936	1	87380331	87634887	Y	N	N	7	1071	38.72
LMO4	ENSG00000143013	1	87794151	87812788	Y	N	Y	5	498	43.02
BARHL2	ENSG00000143032	1	91177159	91182794	Y	N	N	3	1164	50.6
CDC7	ENSG00000097046	1	91966408	91991321	Y	N	N	12	1725	36.66
TGFBR3	ENSG00000069702	1	92145902	92371892	Y	N	N	17	2556	42.29
MTF2	ENSG00000143033	1	93544792	93604638	Y	N	N	15	1782	37.37
F3	ENSG00000117525	1	94994781	95007356	Y	N	N	6	888	43.51
DBT	ENSG00000137992	1	100659736	100715390	Y	N	N	11	1449	39.16
VCAM1	ENSG00000162692	1	101185305	101204601	Y	N	N	9	2220	36.92
S1PR1	ENSG00000170989	1	101702444	101707074	Y	N	N	2	1149	47.92
COL11A1	ENSG00000060718	1	103342023	103574052	Y	N	Y	67	5457	33.13
STXBP3	ENSG00000116266	1	109289296	109352148	Y	N	Y	19	1779	36.03
CSF1	ENSG00000184371	1	110452864	110473614	Y	N	N	9	1665	54.81
RBM15	ENSG00000162775	1	110881128	110889299	Y	N	N	3	2934	44.02
KCNA2	ENSG00000177301	1	111136202	111174096	Y	N	N	2	1500	46.86
C1orf88	ENSG00000173947	1	111888910	111895635	Y	N	N	6	576	42.28
WDR77	ENSG00000116455	1	111982512	111991998	Y	N	N	10	1029	44.57
RAP1A	ENSG00000116473	1	112084840	112259313	Y	N	N	8	555	39.31
DDX20	ENSG00000064703	1	112297867	112310638	Y	N	N	11	2475	40.24
DCLRE1B	ENSG00000118655	1	114447763	114456708	Y	N	N	4	1599	45.65
TRIM33	ENSG00000197323	1	114935399	115053781	Y	N	N	20	3384	38.2
NGF	ENSG00000134259	1	115828539	115880857	Y	N	N	3	726	43.8
ATP1A1	ENSG00000163399	1	116915290	116952883	Y	N	N	23	3072	44.46
MAN1A2	ENSG00000198162	1	117910071	118071494	Y	N	N	13	1926	35.34
TBX15	ENSG00000092607	1	119425669	119532179	Y	N	N	8	1809	41.12
PHGDH	ENSG00000092621	1	120202421	120286838	Y	N	N	12	1602	44.18
NOTCH2	ENSG00000134250	1	120454176	120612240	Y	N	N	34	7416	39.74
PEX11B	ENSG00000131779	1	145516252	145523730	Y	N	Y	4	780	45.5
GJA5	ENSG00000143140	1	147228332	147245484	Y	N	N	2	1077	46.16
SV2A	ENSG00000159164	1	149874870	149889434	Y	N	Y	13	2229	52.21
APH1A	ENSG00000117362	1	150237804	150241980	Y	N	N	7	798	53.84
PRPF3	ENSG00000117360	1	150293925	150325671	Y	N	N	16	2052	44.24
ARNT	ENSG00000143437	1	150782181	150849244	Y	N	N	22	2370	41.21
SETDB1	ENSG00000143379	1	150898739	150937213	Y	N	N	22	3876	44.16
PSMD4	ENSG00000159352	1	151227179	151239955	Y	N	Y	10	1143	47.67
SNX27	ENSG00000143376	1	151584541	151671567	Y	N	Y	12	1626	40.41
FLG	ENSG00000143631	1	152274651	152297679	Y	N	N	3	12186	44
S100A8	ENSG00000143546	1	153362508	153363664	Y	N	N	3	282	54.11
S100A4	ENSG00000196154	1	153516089	153522612	Y	N	N	4	306	56.3
SNAPIN	ENSG00000143553	1	153631130	153634306	Y	N	N	4	411	51.31
ILF2	ENSG00000143621	1	153634512	153643524	Y	N	N	14	1173	44.75
TPM3	ENSG00000143549	1	154127784	154167124	Y	N	N	10	858	45.14
ADAR	ENSG00000160710	1	154554538	154600475	Y	N	N	15	3810	45.35
PYGO2	ENSG00000163348	1	154929502	154936329	Y	N	N	3	1221	54.77
SHC1	ENSG00000160691	1	154934774	154946871	Y	N	N	12	1755	53.79
GBA	ENSG00000177628	1	155204239	155214653	Y	N	N	12	1611	51.64
DAP3	ENSG00000132676	1	155657751	155708803	Y	N	N	13	1197	44.89
LAMTOR2	ENSG00000116586	1	156024543	156028301	Y	N	N	4	453	50.94
CCT3	ENSG00000163468	1	156278759	156337664	Y	N	N	14	1638	45.93
NES	ENSG00000132688	1	156638555	156647189	Y	N	Y	4	4866	59
NTRK1	ENSG00000198400	1	156785432	156851642	Y	N	N	17	2391	53.11
KIRREL	ENSG00000183853	1	157963063	158070052	Y	N	N	15	2322	49.16
SPTA1	ENSG00000163554	1	158580278	158656488	Y	N	N	52	7260	37.53
KCNJ10	ENSG00000177807	1	160007257	160040038	Y	N	N	2	1140	48.34
ATP1A2	ENSG00000018625	1	160085549	160113381	Y	N	Y	23	3063	50.38
NCSTN	ENSG00000162736	1	160313062	160328742	Y	N	N	17	2130	46.85
VANGL2	ENSG00000162738	1	160370376	160398468	Y	N	N	8	1566	51.65
F11R	ENSG00000158769	1	160965001	161008784	Y	N	N	10	912	47.15
PFDN2	ENSG00000143256	1	161070346	161087901	Y	N	Y	4	465	44.14
HSD17B7	ENSG00000132196	1	162760492	162782607	Y	N	N	9	1026	39.34
RGS4	ENSG00000117152	1	163038565	163046592	Y	N	Y	6	909	39.47
PBX1	ENSG00000185630	1	164524821	164868533	Y	N	Y	9	1293	41.67
LMX1A	ENSG00000162761	1	165171104	165325952	Y	N	N	8	1149	43.25
POU2F1	ENSG00000143190	1	167190066	167396582	Y	N	N	16	2301	37.96
CD247	ENSG00000198821	1	167399877	167487847	Y	N	N	8	495	47.24
F5	ENSG00000198734	1	169483404	169555826	Y	N	N	25	6690	38.1
KIFAP3	ENSG00000075945	1	169890467	170054349	Y	N	Y	20	2379	34.27
PRRX1	ENSG00000116132	1	170631869	170708560	Y	N	N	4	738	39.17
SERPINC1	ENSG00000117601	1	173872947	173886516	Y	N	N	7	1395	46.32
NPHS2	ENSG00000116218	1	179519674	179545087	Y	N	N	8	1152	41.64
TOR1AIP1	ENSG00000143337	1	179851177	179888412	Y	N	N	11	1800	38.98
LHX4	ENSG00000121454	1	180199421	180249380	Y	N	N	6	1173	51.15
GLUL	ENSG00000135821	1	182350839	182361341	Y	N	N	8	1122	47.77
DHX9	ENSG00000135829	1	182808504	182856886	Y	N	N	28	3813	38.24
LAMC1	ENSG00000135862	1	182992597	183114727	Y	N	N	28	4830	40.08
LAMC2	ENSG00000058085	1	183155373	183214035	Y	N	N	23	3582	43.28
RNF2	ENSG00000121481	1	185014496	185071740	Y	N	N	7	1011	39.39
IVNS1ABP	ENSG00000116679	1	185265520	185286461	Y	N	N	15	1929	37.35
PTGS2	ENSG00000073756	1	186640923	186649559	Y	N	N	10	1815	34.87
UCHL5	ENSG00000116750	1	192984889	193029237	Y	N	N	12	1107	35.21
CDC73	ENSG00000134371	1	193091147	193223031	Y	N	N	17	1596	35.71
CRB1	ENSG00000134376	1	197170592	197447585	Y	N	N	12	4221	36.51
NEK7	ENSG00000151414	1	198126093	198291550	Y	N	N	10	909	35.84
PTPRC	ENSG00000081237	1	198607801	198726545	Y	N	N	33	3921	34.25
NR5A2	ENSG00000116833	1	199996730	200146552	Y	N	N	8	1626	40.7
CACNA1S	ENSG00000081248	1	201008642	201081694	Y	N	N	44	5622	51.6
TNNT2	ENSG00000118194	1	201328136	201346890	Y	N	N	16	894	54.6
IPO9	ENSG00000198700	1	201798269	201853422	Y	N	Y	24	3126	41.91
ELF3	ENSG00000163435	1	201977073	201986316	Y	N	N	8	1116	54.78
SYT2	ENSG00000143858	1	202559724	202679545	Y	N	Y	9	1260	50.15
MYOG	ENSG00000122180	1	203052260	203055164	Y	N	Y	3	675	58.07
REN	ENSG00000143839	1	204123944	204135465	Y	N	N	10	1221	51.87
PPP1R15B	ENSG00000158615	1	204372515	204380919	Y	N	N	2	2142	40.43
MDM4	ENSG00000198625	1	204485511	204542871	Y	N	N	11	1473	43.49
NFASC	ENSG00000163531	1	204797779	204991950	Y	N	Y	32	4044	47.92
NUAK2	ENSG00000163545	1	205271187	205290883	Y	N	N	7	1887	51.29
LAMB3	ENSG00000196878	1	209788220	209825811	Y	N	N	23	3519	49.95
IRF6	ENSG00000117595	1	209959036	209979465	Y	N	N	9	1404	44.9
HHAT	ENSG00000054392	1	210501596	210849638	Y	N	N	12	1557	42.26
SLC30A1	ENSG00000170385	1	211744910	211752084	Y	N	N	2	1524	38.51
DTL	ENSG00000143476	1	212208919	212280742	Y	N	N	15	2193	38.43
FLVCR1	ENSG00000162769	1	213031597	213072705	Y	N	N	10	1668	40.27
PROX1	ENSG00000117707	1	214156524	214214853	Y	N	N	5	2214	41.17
ESRRG	ENSG00000196482	1	216676588	217311097	Y	N	N	8	1413	38.06
TGFB2	ENSG00000092969	1	218519577	218617961	Y	N	N	8	1329	41.85
HLX	ENSG00000136630	1	221051699	221059124	Y	N	N	4	1467	54.83
CAPN2	ENSG00000162909	1	223889295	223963720	Y	N	N	21	2103	48.73
TP53BP2	ENSG00000143514	1	223967601	224033674	Y	N	Y	18	3405	39.79
LBR	ENSG00000143815	1	225589204	225616627	Y	N	N	14	1848	41.69
LEFTY1	ENSG00000243709	1	226073982	226099082	Y	N	N	4	1101	50.49
LEFTY2	ENSG00000143768	1	226124298	226129189	Y	N	N	4	1101	56.28
H3F3A	ENSG00000163041	1	226249552	226259702	Y	N	N	4	411	44.56
MIXL1	ENSG00000185155	1	226411319	226414785	Y	N	N	2	723	50.74
LIN9	ENSG00000183814	1	226418850	226497570	Y	N	N	15	1842	39.7
PARP1	ENSG00000143799	1	226548392	226595780	Y	N	N	23	3045	46.8
WNT9A	ENSG00000143816	1	228106357	228135631	Y	N	N	4	1098	57.27
WNT3A	ENSG00000154342	1	228194752	228248961	Y	N	N	5	1158	52.48
ACTA1	ENSG00000143632	1	229566992	229569845	Y	N	N	7	1134	62.54
NUP133	ENSG00000069248	1	229577045	229644103	Y	N	N	26	3471	40.19
AGT	ENSG00000135744	1	230838269	230850043	Y	N	N	5	1458	53.69
EGLN1	ENSG00000135766	1	231499497	231560790	Y	N	N	5	1281	39.65
ARID4B	ENSG00000054267	1	235294949	235491534	Y	N	N	24	3939	39.95
EDARADD	ENSG00000186197	1	236511562	236648026	Y	N	N	6	648	44.64
MTR	ENSG00000116984	1	236958610	237067281	Y	N	N	33	3798	40.72
RYR2	ENSG00000198626	1	237205505	238129359	Y	N	Y	107	14922	38.91
FH	ENSG00000091483	1	241660903	241683061	Y	N	N	10	1533	36.87
ZNF238	ENSG00000179456	1	244214585	244220778	Y	N	Y	2	1596	40.26
HNRNPU	ENSG00000153187	1	245014468	245027844	Y	N	N	14	2478	40.52
KIF26B	ENSG00000162849	1	245318287	245872733	Y	N	N	15	6327	44.8
AHCTF1	ENSG00000153207	1	247002400	247095280	Y	N	N	36	6906	38.75
RNASEH1	ENSG00000171865	2	3592383	3606206	Y	N	N	8	861	45.37
SOX11	ENSG00000176887	2	5832799	5841516	Y	N	Y	1	1326	47.75
ID2	ENSG00000115738	2	8818975	8824583	Y	N	Y	2	405	49.26
KIDINS220	ENSG00000134313	2	8865408	8977760	Y	N	Y	30	5316	38.27
ITGB1BP1	ENSG00000119185	2	9543604	9563676	Y	N	Y	8	603	45.09
ADAM17	ENSG00000151694	2	9628615	9695921	Y	N	N	19	2475	41
YWHAQ	ENSG00000134308	2	9724101	9771143	Y	N	Y	5	738	40.33
CYS1	ENSG00000205795	2	10196907	10221071	Y	N	N	3	477	53.23
ODC1	ENSG00000115758	2	10580094	10588630	Y	N	N	12	1386	46.16
ROCK2	ENSG00000134318	2	11319887	11488456	Y	N	N	33	4167	36.75
LPIN1	ENSG00000134324	2	11817721	11967535	Y	N	Y	22	2928	46.76
MYCN	ENSG00000134323	2	16080686	16087129	Y	N	Y	3	1395	53.76
MSGN1	ENSG00000151379	2	17997763	17998368	Y	N	N	1	582	61.72
OSR1	ENSG00000143867	2	19551246	19558414	Y	N	N	3	801	55.68
APOB	ENSG00000084674	2	21224301	21266945	Y	N	N	29	13692	42.96
ADCY3	ENSG00000138031	2	25042038	25142708	Y	N	Y	21	3435	50.99
POMC	ENSG00000115138	2	25383722	25391772	Y	N	N	3	804	51.16
DNMT3A	ENSG00000119772	2	25455845	25565459	Y	N	N	23	2739	53.5
ASXL2	ENSG00000143970	2	25960557	26101385	Y	N	N	13	4308	39.64
HADHA	ENSG00000084754	2	26413504	26467594	Y	N	N	20	2292	41.93
CENPA	ENSG00000115163	2	26987157	27023935	Y	N	N	5	423	48.97
PPM1G	ENSG00000115241	2	27604061	27632554	Y	N	N	11	1641	45.48
IFT172	ENSG00000138002	2	27667238	27712656	Y	N	N	48	5250	45.51
FOSL2	ENSG00000075426	2	28615315	28640179	Y	N	N	4	981	51.8
PPP1CB	ENSG00000213639	2	28974506	29025806	Y	N	N	9	984	38.98
XDH	ENSG00000158125	2	31557187	31637581	Y	N	N	36	4002	42.91
BIRC6	ENSG00000115760	2	32582096	32843966	Y	N	N	74	14574	37.56
LTBP1	ENSG00000049323	2	33172039	33624576	Y	N	N	34	5169	40.25
CRIM1	ENSG00000150938	2	36583069	36778278	Y	N	N	17	3111	40.24
SOS1	ENSG00000115904	2	39208537	39351486	Y	N	N	23	4002	37.8
SLC8A1	ENSG00000183023	2	40339286	40838193	Y	N	N	10	2922	37.47
PKDCC	ENSG00000162878	2	42275160	42285668	Y	N	N	7	1482	56.22
ZFP36L2	ENSG00000152518	2	43449541	43453748	Y	N	N	2	1485	55.96
DYNC2LI1	ENSG00000138036	2	44001178	44037149	Y	N	N	13	1056	37.57
PPM1B	ENSG00000138032	2	44395108	44471523	Y	N	Y	6	1440	38.72
SIX3	ENSG00000138083	2	45168902	45173216	Y	N	Y	2	999	57.4
SIX2	ENSG00000170577	2	45232300	45236569	Y	N	N	2	876	59.16
EPAS1	ENSG00000116016	2	46520806	46613836	Y	N	N	16	2613	46.71
CRIPT	ENSG00000119878	2	46843555	46852881	Y	N	N	5	306	39.14
TTC7A	ENSG00000068724	2	47143296	47303276	Y	N	N	21	2649	50.88
EPCAM	ENSG00000119888	2	47572297	47614740	Y	N	N	11	1029	44.35
FBXO11	ENSG00000138081	2	48016455	48132932	Y	N	Y	23	2784	39.46
FSHR	ENSG00000170820	2	49189296	49381676	Y	N	N	10	2088	39.06
SPTBN1	ENSG00000115306	2	54683422	54896812	Y	N	Y	36	7095	42.8
RTN4	ENSG00000115310	2	55199325	55339757	Y	N	N	9	3579	38.6
PNPT1	ENSG00000138035	2	55861400	55921045	Y	N	N	29	2352	39.78
FANCL	ENSG00000115392	2	58386378	58468507	Y	N	N	14	1143	34.76
BCL11A	ENSG00000119866	2	60678302	60780702	Y	N	Y	4	2508	44.56
PEX13	ENSG00000162928	2	61244360	61276394	Y	N	N	4	1212	40.07
COMMD1	ENSG00000173163	2	62115859	62374382	Y	N	N	3	573	41.05
OTX1	ENSG00000115507	2	63277192	63284971	Y	N	N	5	1065	59.54
MDH1	ENSG00000014641	2	63815743	63834331	Y	N	Y	9	1059	38.05
VPS54	ENSG00000143952	2	64120035	64246567	Y	N	N	23	2934	37.12
MEIS1	ENSG00000143995	2	66660584	66799890	Y	N	N	12	1398	39.22
PPP3R1	ENSG00000221823	2	68358370	68488362	Y	N	N	15	996	38.32
BMP10	ENSG00000163217	2	69092613	69098649	Y	N	N	2	1275	40.42
TIA1	ENSG00000116001	2	70436576	70475792	Y	N	Y	13	1161	39.67
CYP26B1	ENSG00000003137	2	72356367	72375167	Y	N	Y	6	1539	59.96
SPR	ENSG00000116096	2	73114489	73119287	Y	N	N	3	786	54.78
NOTO	ENSG00000214513	2	73429386	73439641	Y	N	N	3	756	50.72
STAMBP	ENSG00000124356	2	74056086	74100786	Y	N	N	11	1275	42.08
MTHFD2	ENSG00000065911	2	74425689	74444692	Y	N	N	8	1053	43.3
DCTN1	ENSG00000204843	2	74588281	74619214	Y	N	Y	32	3837	49.96
TLX2	ENSG00000115297	2	74740590	74744769	Y	N	N	3	855	63.21
HK2	ENSG00000159399	2	75061108	75120486	Y	N	N	19	2754	47.62
CTNNA2	ENSG00000066032	2	79412357	80875905	Y	N	Y	18	2862	38.65
KCMF1	ENSG00000176407	2	85198216	85282560	Y	N	N	7	1146	41.72
TCF7L1	ENSG00000152284	2	85360533	85537511	Y	N	N	12	1767	46.97
GGCX	ENSG00000115486	2	85774743	85788670	Y	N	N	15	2277	46.86
VAMP8	ENSG00000118640	2	85788685	85809154	Y	N	N	3	303	47.95
SFTPB	ENSG00000168878	2	85884437	85895864	Y	N	N	12	1182	56.05
ATOH8	ENSG00000168874	2	85978467	86015189	Y	N	N	3	966	55.02
SMYD1	ENSG00000115593	2	88367299	88412906	Y	N	N	10	1473	44.64
EIF2AK3	ENSG00000172071	2	88856259	88927094	Y	N	N	17	3351	38.57
ADRA2B	ENSG00000222040	2	96778707	96781984	Y	N	N	1	1344	60.71
SNRNP200	ENSG00000144028	2	96940074	96971297	Y	N	N	45	6411	47.6
SEMA4C	ENSG00000168758	2	97525453	97536494	Y	N	Y	15	2502	62.17
INPP4A	ENSG00000040933	2	99061317	99207496	Y	N	N	24	2934	47.3
REV1	ENSG00000135945	2	100016938	100106497	Y	N	N	23	3756	39.33
MAP4K4	ENSG00000071054	2	102313312	102508449	Y	N	N	31	3963	41.08
POU3F3	ENSG00000198914	2	105471969	105476929	Y	N	N	1	1503	51.52
SLC5A7	ENSG00000115665	2	108602979	108630450	Y	N	N	9	1743	37.27
LIMS1	ENSG00000169756	2	109150857	109303702	Y	N	N	10	1164	41.37
RANBP2	ENSG00000153201	2	109335937	109402267	Y	N	N	29	9675	39.01
EDAR	ENSG00000135960	2	109510927	109605828	Y	N	N	11	1443	48.85
BUB1	ENSG00000169679	2	111395275	111435691	Y	N	N	25	3258	38.24
BCL2L11	ENSG00000153094	2	111876955	111924587	Y	N	N	4	597	44.43
TTL	ENSG00000114999	2	113239731	113290227	Y	N	N	7	1134	42.76
POLR1B	ENSG00000125630	2	113299492	113334635	Y	N	N	16	3522	42.21
SLC20A1	ENSG00000144136	2	113403434	113421404	Y	N	N	11	2040	42.45
PAX8	ENSG00000125618	2	113973574	114036527	Y	N	N	12	1353	49.16
ACTR3	ENSG00000115091	2	114647537	114720173	Y	N	N	12	1257	36.61
EN1	ENSG00000163064	2	119599766	119605254	Y	N	N	2	1179	58.21
DBI	ENSG00000155368	2	120124497	120130126	Y	N	N	4	447	50.39
EPB41L5	ENSG00000115109	2	120770581	120936695	Y	N	N	25	2202	38.5
INHBB	ENSG00000163083	2	121103719	121109384	Y	N	N	2	1224	56.09
GLI2	ENSG00000074047	2	121493199	121750229	Y	N	N	14	4761	52.42
TFCP2L1	ENSG00000115112	2	121974163	122042783	Y	N	N	15	1440	48.53
BIN1	ENSG00000136717	2	127805603	127864931	Y	N	Y	19	1782	59.66
ERCC3	ENSG00000163161	2	128014866	128051752	Y	N	N	15	2349	46.18
PROC	ENSG00000115718	2	128176003	128186822	Y	N	N	8	1551	57.69
HS6ST1	ENSG00000136720	2	128994290	129076151	Y	N	N	2	1236	53.08
CFC1	ENSG00000136698	2	131350339	131357123	Y	N	N	6	672	53.19
CCNT2	ENSG00000082258	2	135675805	135716912	Y	N	N	9	2193	37.48
MCM6	ENSG00000076003	2	136597196	136633996	Y	N	N	17	2466	40.28
CXCR4	ENSG00000121966	2	136871919	136875735	Y	N	N	1	1071	52.06
LRP1B	ENSG00000168702	2	140988992	142889270	Y	N	Y	91	13800	34.82
ZEB2	ENSG00000169554	2	145145568	145282147	Y	N	Y	10	3645	38.67
ACVR2A	ENSG00000121989	2	148602086	148688393	Y	N	N	12	1542	35.46
RND3	ENSG00000115963	2	151324709	151395525	Y	N	N	5	735	38.66
RIF1	ENSG00000080345	2	152266397	152364527	Y	N	N	36	7419	38.04
NEB	ENSG00000183091	2	152341850	152591001	Y	N	N	182	25578	38.81
NR4A2	ENSG00000153234	2	157180944	157198860	Y	N	N	7	1830	45.15
GPD2	ENSG00000115159	2	157291802	157470247	Y	N	N	19	2184	37.9
ACVR1	ENSG00000115170	2	158592958	158732374	Y	N	N	11	1530	40.31
RBMS1	ENSG00000153250	2	161128662	161350305	Y	N	N	15	1260	39.2
TBR1	ENSG00000136535	2	162272605	162282381	Y	N	Y	6	2049	47.46
